job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
433370,ug8IF,vcvGl,,1,1,COMPLETED,187487.0,48327,ImageNet,ResNet50,32,1,670.679,95.864,67.568,3838.0,0,187487.0,235814.0,0,0.0,48327.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433372,uJPUR,vcvGl,,2,1,FAILED,187536.0,22,CIFAR-10,VGG,64,1,5112.546,34.0,16.5,3588.0,0,187536.0,187558.0,0,0.0,22.0,end,"[{0: [0, 1]}]",-1,0,0,0,0,1,1,,0,0
433374,uJPUR,vcvGl,,2,1,FAILED,187543.0,20,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,187543.0,187563.0,0,0.0,20.0,end,"[{0: [0, 1]}]",-1,0,0,0,0,1,1,,0,0
433378,uJPUR,vcvGl,,2,1,FAILED,187549.0,16,CIFAR-10,VGG,32,0,2998.72,44.0,23.0,3386.0,0,187549.0,187565.0,0,0.0,16.0,end,"[{0: [1, 2]}]",-1,0,0,0,0,1,1,,0,0
433377,uJPUR,vcvGl,,2,1,FAILED,187549.0,16,LunarLander,PPO,32,0,5.156,12.425,0.0,2051.0,0,187549.0,187565.0,0,0.0,16.0,end,"[{0: [3, 4]}]",-1,0,0,0,0,1,1,,0,0
433379,ug8IF,vcvGl,,1,1,COMPLETED,187551.0,46570,ImageNet,ResNet50,32,0,432.563,100.0,80.754,5518.0,0,187551.0,234121.0,0,0.0,46570.0,end,[{0: [2]}],-1,0,0,0,0,1,1,,0,0
433383,uJPUR,vcvGl,,1,1,FAILED,187554.0,138,CIFAR-10,EfficientNet,128,0,3465.072,44.833,16.167,2580.0,0,187554.0,187692.0,0,0.0,138.0,end,[{0: [2]}],-1,0,0,0,0,1,1,,0,0
433381,uJPUR,vcvGl,,2,1,FAILED,187554.0,17,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,187554.0,187571.0,0,0.0,17.0,end,"[{0: [3, 4]}]",-1,0,0,0,0,1,1,,0,0
433384,ug8IF,vcvGl,,1,1,COMPLETED,187559.0,46981,SQuAD,BERT,32,1,119.911,99.593,74.23,16334.0,0,187559.0,234540.0,0,0.0,46981.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433386,uJPUR,vcvGl,,2,1,FAILED,187562.0,20,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,187562.0,187582.0,0,0.0,20.0,end,"[{0: [1, 3]}]",-1,0,0,0,0,1,1,,0,0
433387,ug8IF,vcvGl,,1,1,COMPLETED,187565.0,46851,ImageNet,ResNet50,64,1,708.822,97.735,72.518,5376.0,0,187565.0,234416.0,0,0.0,46851.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433389,uJPUR,vcvGl,,1,1,FAILED,187568.0,140,MovieLens,NeuMF,64,1,12173.612,9.836,2.009,2050.0,0,187568.0,187708.0,0,0.0,140.0,end,[{0: [1]}],-1,0,0,0,0,1,1,,0,0
433391,uJPUR,vcvGl,,1,1,FAILED,187608.0,138,CIFAR-10,VGG,32,1,3556.88,48.0,19.0,2762.0,0,187608.0,187746.0,0,0.0,138.0,end,[{0: [2]}],-1,0,0,0,0,1,1,,0,0
433392,uJjMX,vcvGl,,32,160,CANCELLED,187628.0,9218,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,187628.0,196846.0,0,0.0,9218.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}, {4: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433393,uJjMX,vcvGl,,80,400,COMPLETED,187687.0,705,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,187687.0,188392.0,0,0.0,705.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}, {4: [0, 1, 2, 3, 4, 5, 6, 7]}, {5: [0, 1, 2, 3, 4, 5, 6, 7]}, {6: [0, 1, 2, 3, 4, 5, 6, 7]}, {7: [0, 1, 2, 3, 4, 5, 6, 7]}, {8: [0, 1, 2, 3, 4, 5, 6, 7]}, {9: [0, 1, 2, 3, 4, 5, 6, 7]}, {10: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433404,uH3om,vcvGl,,80,80,COMPLETED,188220.0,4095,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,188220.0,192315.0,0,0.0,4095.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}, {4: [0, 1, 2, 3, 4, 5, 6, 7]}, {5: [0, 1, 2, 3, 4, 5, 6, 7]}, {6: [0, 1, 2, 3, 4, 5, 6, 7]}, {7: [0, 1, 2, 3, 4, 5, 6, 7]}, {8: [0, 1, 2, 3, 4, 5, 6, 7]}, {9: [0, 1, 2, 3, 4, 5, 6, 7]}, {10: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
